,task_id,formula,formation_energy_per_atom,e_above_hull,band_gap,has_bandstructure
297,mp-570140,AuBr,-0.1251806862499997,0.0115790287499999,1.9716,True
573,mp-1206190,ZnI6,0.3879445721428571,0.6524703799107141,0.1075999999999997,False
579,mp-1208424,TeBr4,-0.3900600539999999,0.0,2.5202,False
738,mp-570480,TcBr4,-0.4044036197499999,0.0,0.6025,True
880,mp-1064459,PBr,1.0677891314285717,1.3278823572023808,0.0,False
1318,mp-22906,CsBr,-1.7494787331034485,0.040376175,4.2433,True
1375,mp-567246,PbI2,-0.6747878638095243,0.0005677995238095,2.4098,False
1381,mp-569814,TiBr4,-1.2357978355833332,0.0,2.7939,True
1385,mp-571102,TlI,-0.6814063150000003,0.0,2.2086,True
1386,mp-571616,CdI2,-0.5918998663333334,0.0002371322222221,2.4567,True
1837,mp-568301,BiBr3,-0.7729692574999998,0.002055485,2.835,True
1849,mp-570314,CdI2,-0.5914745872222221,0.0006624113333333,2.3776,True
1850,mp-570437,CdI2,-0.5909344116666664,0.0012025868888891,2.3718000000000004,True
1852,mp-570589,SeBr,-0.0879944042968747,0.007620162792969,1.4863,True
1871,mp-635441,SiI4,-0.37838789875,0.0,2.8561,True
1885,mp-685174,In2Br3,-0.7551613385833335,0.0003971226250003,2.3003,False
2104,mp-1196526,Nb6I11,-0.4530696061764709,0.013576613676471,0.1004999999999998,False
2348,mp-680152,CdI2,-0.5906093612222223,0.0015276373333332,2.3691000000000004,True
2474,mp-862565,ScBr2,-1.4463354233333334,0.0408465188888884,0.0,False
2672,mp-1207486,ZrBr4,-1.3701109790000003,0.0,3.7882,False
2789,mp-23312,MoBr3,-0.5777209818750002,0.0,0.7129,True
2795,mp-28099,SBr,-0.3778401407812497,0.0,2.2298,True
2841,mp-569468,CdI2,-0.5920198093750001,0.0001171891805555,2.4319,True
2844,mp-571583,CdI2,-0.5910905326666664,0.0010464658888891,2.377,True
2949,mp-864733,MoI3,0.0278615487500002,0.3172477929166666,0.0,False
2952,mp-865521,LuI3,-1.3105288287499994,0.0,2.1804,True
2976,mp-979293,Sm3I,-0.0901088068749995,0.3762286091666666,0.0,False
3359,mp-568233,CdI2,-0.5905983500000002,0.0015386485555555,2.366,True
3505,mp-1025426,CeI3,-1.3760572299999998,0.0,0.0232999999999998,False
3828,mp-27161,ZnI2,-0.6172268847916665,0.0,2.9076000000000004,True
3905,mp-697025,HI,-0.0636921949349997,0.0,4.0624,True
4231,mp-23273,TeI,-0.0709852531250003,0.0134266131249995,0.7942999999999998,True
4232,mp-23305,EuI2,-1.611457495833334,0.0128288008333328,1.3096,True
4349,mp-569346,CuI,-0.1473799150000001,0.0088151074999998,1.2172,True
