task_id,formula,formation_energy_per_atom,e_above_hull,band_gap
mp-1111158,K3TaI6,-0.885879044,0.198583464,0
mp-28929,DySI,-2.043336415,0,2.7811
mp-766313,BaCa2I6,-1.634190971,0.062747603,3.6009
mp-1111178,K3AsI6,-0.874470878,0.102393513,2.0463
mp-645425,Pr7C3I10,-1.173168608,0,0
mp-1120768,CsPbI3,-1.02732539,0.015739539,1.6479
mp-1207914,USnI6,-0.685435929,0.021561732,0.0676
mp-1212017,K2LaI5,-1.532487225,0,2.7388
mp-23062,YCI,-0.862814333,0,0
mp-30951,CsTi2I7,-0.842803842,0.111004249,0.1902
mp-1207197,Tb2CI,-0.770415352,0,0
mp-1214080,Ca3SbI3,-1.441503452,0,1.6899
mp-29212,Tl4PbI6,-0.663871268,0.01588487,2.3274
mp-570470,CeSmI4,-1.156364425,0.082100902,0
mp-570779,Pr3OsI3,-0.963183029,0,0.1994
mp-580597,CsCrI3,-0.811120294,0.052695305,0.2212
mp-766324,BaCaI4,-1.65851556,0.064027266,3.1404
mp-23520,InPb2I5,-0.567185595,0.056452423,1.8615
mp-1178516,BaSr2I6,-1.732426066,0.01036438,3.8972
mp-1214632,Ba3SbI3,-1.589648727,0,1.4047
mp-616218,Cd(In2I3)2,-0.494560493,0.007647841,1.5384
mp-1112169,KInI3,-0.830844093,0.075882271,0
mp-1190087,CsLiI2,-1.35587906,0.036198137,3.7214
mp-23060,Cs2PtI6,-0.823044447,0,0.6484
mp-675194,Te21(Mo3I11)2,0.074037599,0.303446037,0.1732
mp-756131,Sr2CaI6,-1.666193221,0.02638378,3.6484
mp-1096526,CsRbI2,-1.128949084,0.39068959,3.7239
mp-607987,CsInI4,-0.911237937,0,2.2731
mp-754572,BaCa2I6,-1.648427826,0.048510747,3.499
mp-1188900,Tb7RuI12,-1.229023741,0,0
mp-1202969,Tc3Se4I,-0.541427621,0,0.7966
mp-1208219,Tl3SnI5,-0.606248398,0.019027917,2.4379
mp-1209403,RbFeI4,-0.64619511,0,0.5624
mp-1212552,Ge12As11I4,-0.043712436,0.070601864,0
mp-1221924,Mn2CrI6,-0.397674717,0.033889371,0
mp-573321,TePdI2,-0.245405919,0.018826299,0.5268
mp-1178521,BaLaI5,-1.615189773,0.043079293,2.0842
mp-1207331,TbSeI,1.327400082,2.985457188,0.0647
mp-1208143,Tl4SnI6,-0.623668101,0.011813669,2.1932
mp-1208330,TbSI,-1.694529707,0.297852492,1.2289
mp-1215087,Ag3SI3,0.843955405,1.087844038,0.3372
mp-28538,SiH3I,-0.191648695,0,4.1943
mp-677262,KInI4,-0.818695367,0.01271467,2.5931
mp-28745,Nb2Te6I,-0.380532652,0,0.6361
mp-29450,CuSe3I,-0.093880452,0,1.0589
mp-30532,Tl2ZnI4,-0.654977146,0,2.9405
mp-540957,Cs2TeI6,-0.823481579,0,1.3886
mp-569118,Cs3MnI5,-1.217667644,0,2.2911
mp-621932,K(Zr3I7)2,-0.495078027,0.471035709,0
mp-756509,BaLaI5,-1.588952167,0.069316899,2.6608
mp-757070,BaCaI4,-1.632156976,0.09038585,3.0451
mp-570873,Nb(Te2I3)2,-0.27751691,0,0.7654
mp-1112654,Cs3AlI6,-1.13459067,0.063416076,2.107
mp-571404,Hg3(SeI)2,-0.261772527,0.004514098,1.1259
mp-752695,SrCa2I6,-1.623219593,0.046431472,3.6748
mp-756451,CaPbI4,-1.159386072,0.001401727,2.8881
