,AtomicRadius,AtomicVolume,AtomicWeight,BoilingT,CovalentRadius,Density,ElectronAffinity,Electronegativity,FirstIonizationEnergy,HeatCapacityMass,SecondIonizationEnergy
H,0.25,18618.05194,1.00794,20.13,31,0.0899,72.8,2.2,13.598443,14.304,
He,,37236.03556,4.002602,4.07,28,0.1785,0,,24.587387,5.13,54.41776
Li,1.45,21.54405808,6.941,1615,128,535,59.6,0.98,5.391719,3.582,75.64
Be,1.05,8.098176455,9.012182,2743,96,1848,0,1.57,9.3227,1.825,18.21114
B,0.85,7.297767265,10.811,4273,84,2460,26.7,2.04,8.29802,1.026,25.1548
C,0.7,8.825089715,12.0107,4300,76,2260,153.9,2.55,11.2603,0.709,24.3833
N,0.65,18592.49897,14.0067,77.21,71,1.251,7,3.04,14.5341,1.04,29.6013
O,0.6,18592.19717,15.9994,90.1,66,1.429,141,3.44,13.61805,0.918,35.1211
F,0.5,18601.60857,18.9984032,84.88,57,1.696,328,3.98,17.4228,0.824,34.9708
Ne,,37232.18569,20.1791,26.92,58,0.9,0,,21.56454,1.03,40.96296
Na,1.8,39.43832888,22.98976928,1156,166,968,52.8,0.93,5.139076,1.228,47.2864
Mg,1.5,23.2222931,24.305,1363,141,1738,0,1.31,7.646235,1.023,15.03527
Al,1.25,16.59442452,26.9815386,2792,121,2700,42.5,1.61,5.985768,0.897,18.82855
Si,1.1,20.01637772,28.0855,3173,111,2330,133.6,1.9,8.15168,0.712,16.34584
P,1,28.21412182,30.973762,553.5,107,1823,72,2.19,10.48669,0.769,19.7695
S,1,27.16654579,32.065,717.72,105,1960,200,2.58,10.36001,0.708,23.33788
Cl,1,18317.50704,35.453,238.96,102,3.214,349,3.16,12.96763,0.479,23.8136
Ar,0.71,37184.28542,39.948,87.2,106,1.784,0,,15.75961,0.52,27.62966
K,2.2,75.84786468,39.0983,1032,203,856,48.4,0.82,4.3406633,0.757,31.63
Ca,1.8,42.9371873,40.078,1757,176,1550,2.37,1,6.11316,0.647,11.87172
Sc,1.6,25.00931092,44.955912,3103,170,2985,18.1,1.36,6.56149,0.568,12.79977
Ti,1.4,17.63631716,47.867,3560,160,4507,7.6,1.54,6.82812,0.524,13.5755
V,1.35,13.84489822,50.9415,3680,153,6110,50.6,1.63,6.74619,0.489,14.618
Cr,1.4,12.09293747,51.9961,2944,139,7140,64.3,1.66,6.76651,0.449,16.4857
Mn,1.4,12.21270447,54.938045,2334,139,7470,0,1.55,7.43402,0.479,15.64
Fe,1.4,11.77736497,55.845,3134,132,7874,15.7,1.83,7.9024,0.449,16.1877
Co,1.35,10.99586068,58.933195,3200,126,8900,63.7,1.88,7.88101,0.421,17.084
Ni,1.35,10.94128444,58.6934,3186,124,8908,112,1.91,7.6398,0.444,18.16884
Cu,1.35,11.82994193,63.546,3200,132,8920,118.4,1.9,7.72638,0.385,20.2924
