Formula,Eg (eV)
AgAu3,0
BaAg2,0
AgBr,2.52
CdAg,0
AgCl,5.13
DyAg,0
AgF,2.8
AgI,3.0247
InAg3,0
KAg2,0
LuAg2,0
AgN3,3.44
AgO,1.57
AgP15,1.47
Ag3Pd,0
AgPt3,0
Ag2S,1.23
ScAg,0
SmAg,0
SrAg,0
AgTe,0.85
V3Ag,0
YbAg2,0
Zn8Ag5,0
Zr3Ag,0
AlAs,0
AlB2,0
BaAl2,0
AlBi,0.4
Ce3Al,0
Al9Co2,0
Al4Cu9,0
Al6Fe,0
Hf4Al3,0
AlIr,0
LaAl4,0
LiAl3,0
Mg23Al30,0
Mn3Al10,0
AlN,5.9
AlNi2,0
AlP,3.62
Al21Pt8,0
Al5Rh2,0
Al2Ru,0
Al2S3,4.1
AlSb,1.666
Al2Se3,3.1
Sm3Al,0
AlSn,0
Sr8Al7,0
TaAl3,0
Al3Tc,0
Al2Te3,2.2
ThAl3,0
TiAl,0
UAl3,0
Al10V,0
YbAl3,0
Zr3Al2,0
AsAu3,0
B6As,1.51
AsBr3,2.6
Cd3As2,0.24
CoAs3,0.4
CrAs,0
Cs3As,0.6
DyAs,1
Eu3As2,0.6
Fe12As5,0
GaAs,1.46
GdAs,0.63
GeAs2,1.1
HfAs2,0
Hg3As,0
AsI3,2.29
InAs,0.425
As2Ir,1
Mg3As2,2.2
MnAs,0
Mo5As4,0
NdAs,1.04
As2O3,4
As2Os,0.92
AsP,0.23
PrAs,1
As2Pt,0.55
Re3As7,0
As2Rh,1.15
As2Ru,0.8
As2S3,1.89
SbAs,1.6
As2Se3,1.84
SiAs,1.57
SmAs,1.03
Sn3As2,0.47
TaAs,0
Te3As2,1.76
TmAs,1.18
YAs,0
YbAs,1.02
ZnAs2,0.91
BaAu2,0
Ca3Au4,0
CsAu,2.3
Ho2Au,0
InAu3,0
LuAu,0
NdAu3,0
PrAu,0
Au3S,0
SiAu3,0
SmAu3,0
Te2Au,0
TmAu,0
UAu2,0
Yb5Au4,0
ZrAu4,0
BaB6,2.64
B4C,1.64
CaB6,4.5
DyB6,3.3
ErB6,3.5
Fe3B,0
GdB6,3.6
HfB,0
HoB4,0
LaB6,4.1
LiB3,2
BMo,0
NaB15,0.32
Nb3B2,0
NdB6,4.9
Ni23B6,0
B2O3,4.9
BP,4.2
PrB4,0
BRh2,0
BSb,2.6
SiB3,2
SmB6,3.5
SnB,0
SrB6,3.68
Ta3B4,0
TcB,0
Ti2B,0
VB2,0
B4W,0
YB66,0.8
YbB66,1.27
ZrB2,0
Ba5Bi3,0
BaF2,9.1
BaGe2,1
BaLi4,0
Ba3N2,0
BaO,4.8
BaPt5,0
BaS,3.88
Ba5Sb3,0
BaSe,3.58
BaSi,0
BaSn3,0
BaTe,3.4
BaTh3,0
BaTl3,0
BaZn5,0
BeCu,0
Be3N2,3.8
BeO,10.39
BePd2,0
Be12Pt,0
