,AtomicRadius,AtomicVolume,AtomicWeight,BulkModulus,BoilingT,Column,CovalentRadius,Density,ElectronAffinity,Electronegativity,FirstIonizationEnergy,HeatCapacityMass,Row,phi,SecondIonizationEnergy,ShearModulus
H,0.25,18618.0519408073,1.00794,,20.13,1.0,31.0,0.0899,72.8,2.2,13.598443,14.304,1.0,5.2,,
He,,37236.0355633452,4.002602,,4.07,18.0,28.0,0.1785,0.0,,24.587387,5.13,1.0,,54.41776,
Li,1.45,21.5440580798753,6.941,11.0,1615.0,1.0,128.0,535.0,59.6,0.98,5.391719,3.582,2.0,2.85,75.64,4.2
Be,1.05,8.09817645544979,9.012182,130.0,2743.0,2.0,96.0,1848.0,0.0,1.57,9.3227,1.825,2.0,5.05,18.21114,132.0
B,0.85,7.29776726528474,10.811,320.0,4273.0,13.0,84.0,2460.0,26.7,2.04,8.29802,1.026,2.0,5.3,25.1548,
C,0.7,8.82508971529172,12.0107,33.0,4300.0,14.0,76.0,2260.0,153.9,2.55,11.2603,0.709,2.0,6.24,24.3833,
N,0.65,18592.4989666188,14.0067,,77.21,15.0,71.0,1.251,7.0,3.04,14.5341,1.04,2.0,6.86,29.6013,
O,0.6,18592.1971664894,15.9994,,90.1,16.0,66.0,1.429,141.0,3.44,13.61805,0.918,2.0,,35.1211,
F,0.5,18601.6085673286,18.9984032,,84.88,17.0,57.0,1.696,328.0,3.98,17.4228,0.824,2.0,,34.9708,
Ne,,37232.1856895088,20.1791,,26.92,18.0,58.0,0.9,0.0,,21.56454,1.03,2.0,,40.96296,
Na,1.8,39.4383288822527,22.98976928,6.3,1156.0,1.0,166.0,968.0,52.8,0.93,5.139076,1.228,3.0,2.7,47.2864,3.3
Mg,1.5,23.2222930956267,24.305,45.0,1363.0,2.0,141.0,1738.0,0.0,1.31,7.646235,1.023,3.0,3.45,15.03527,17.0
Al,1.25,16.5944245175099,26.9815386,76.0,2792.0,13.0,121.0,2700.0,42.5,1.61,5.985768,0.897,3.0,4.2,18.82855,26.0
Si,1.1,20.0163777166128,28.0855,100.0,3173.0,14.0,111.0,2330.0,133.6,1.9,8.15168,0.712,3.0,4.7,16.34584,
P,1.0,28.2141218166412,30.973762,11.0,553.5,15.0,107.0,1823.0,72.0,2.19,10.48669,0.769,3.0,5.55,19.7695,
S,1.0,27.1665457946712,32.065,7.7,717.72,16.0,105.0,1960.0,200.0,2.58,10.36001,0.708,3.0,,23.33788,
Cl,1.0,18317.5070375642,35.453,1.1,238.96,17.0,102.0,3.214,349.0,3.16,12.96763,0.479,3.0,,23.8136,
Ar,0.71,37184.285422807,39.948,,87.2,18.0,106.0,1.784,0.0,,15.75961,0.52,3.0,,27.62966,
K,2.2,75.8478646830779,39.0983,3.1,1032.0,1.0,203.0,856.0,48.4,0.82,4.3406633,0.757,4.0,2.25,31.63,1.3
Ca,1.8,42.9371873024716,40.078,17.0,1757.0,2.0,176.0,1550.0,2.37,1.0,6.11316,0.647,4.0,2.55,11.87172,7.4
Sc,1.6,25.0093109185916,44.955912,57.0,3103.0,3.0,170.0,2985.0,18.1,1.36,6.56149,0.568,4.0,3.25,12.79977,29.0
Ti,1.4,17.6363171588061,47.867,110.0,3560.0,4.0,160.0,4507.0,7.6,1.54,6.82812,0.524,4.0,3.8,13.5755,44.0
